courier_id	page	count	page_corr	found	not_found
074817	22	2	22	0	2
074819	24	2	24	1	1
074823	8	2	8	0	2
074825	14	2	14	0	2
074827	24	2	24	1	1
074836	11	2	11	1	1
074836	12	2	12	0	2
074836	13	2	13	0	2
074836	14	2	14	1	1
074836	15	2	15	0	2
074836	16	2	16	0	2
074836	17	2	17	0	2
074840	28	2	28	1	1
074842	30	2	30	0	2
074842	32	2	32	0	2
074842	33	2	33	0	2
074845	18	2	18	1	1
074845	42	2	42	1	1
074848	23	2	23	1	1
074848	28	2	28	0	2
074849	6	2	6	0	2
074849	44	2	44	1	1
074866	36	2	36	1	1
074868	11	2	11	1	1
074868	23	2	23	1	1
074868	30	2	30	0	2
074869	26	2	26	0	2
074869	28	2	28	1	1
074875	16	2	16	0	2
074875	32	2	32	0	2
074876	57	2	57	0	2
074878	16	2	16	1	1
074879	12	2	12	0	2
074884	4	2	4	0	2
074884	5	2	5	1	1
074884	6	2	6	1	1
074884	7	2	7	0	2
074884	8	2	8	1	1
074884	9	2	9	0	2
074884	10	2	10	1	1
074884	11	2	11	0	2
074884	12	2	12	0	2
074884	13	2	13	0	2
074884	14	2	14	1	1
074884	15	2	15	0	2
074884	16	2	16	0	2
074885	11	2	11	1	1
074885	12	2	12	0	2
074890	6	2	6	1	1
074890	8	2	8	1	1
074890	10	2	10	1	1
074894	23	2	23	1	1
074925	32	2	32	1	1
074933	5	2	5	0	2
074933	11	2	11	0	2
074933	20	2	20	0	2
074946	3	3	3	0	3
074946	4	3	4	1	2
074946	5	2	5	0	2
074946	7	2	7	1	1
074946	8	2	8	1	1
074946	9	3	9	1	2
074946	10	2	10	2	0
074946	11	2	11	2	0
074968	3	3	3	0	3
074968	4	3	4	1	2
074968	7	2	7	1	1
074968	10	3	10	1	2
074968	11	3	11	2	1
074977	2	2	2	0	2
074977	3	2	3	1	1
074977	4	2	4	1	1
074977	7	3	7	0	3
074977	8	3	8	2	1
074977	9	2	9	0	2
074977	10	2	10	1	1
074977	11	3	11	2	1
076498	30	2	30	1	1
076565	38	2	38	0	2
076585	31	2	31	0	2
076585	32	2	32	0	2
076667	18	2	18	0	2
076667	41	2	41	1	1
077050	34	2	34	1	1
078133	32	2	32	1	1
078148	16	2	16	2	0
078148	17	2	17	0	2
078161	22	2	21	1	1
078193	10	2	10	1	1
078196	6	2	6	0	2
078196	7	2	7	1	1
