courier_id	page	page_corr	count	found	not_found	continued_count
073790	7	7	3	0	3	1
073790	8	8	2	0	2	1
073809	1	1	3	0	3	0
073809	2	2	4	0	4	3
073809	3	3	3	0	3	0
073809	4	4	3	0	3	0
073809	5	5	2	1	1	0
073809	6	6	2	0	2	1
073809	7	7	3	1	2	0
073809	8	8	2	0	2	0
073829	1	1	2	0	2	1
073829	2	2	2	0	2	1
073829	3	3	2	0	2	2
073829	4	4	4	0	4	0
073829	5	5	2	0	2	0
073829	6	6	2	0	2	3
073829	7	7	2	0	2	1
073829	8	8	3	0	3	1
073850	1	1	2	0	2	3
073850	2	2	2	0	2	2
073850	3	3	2	0	2	0
073850	4	4	3	0	3	0
073850	5	5	3	0	3	0
073850	6	6	4	0	4	3
073850	7	7	2	0	2	0
073850	8	8	2	0	2	0
073867	1	1	2	0	2	4
073867	3	3	2	0	2	2
073867	4	4	3	1	2	0
073867	5	5	4	1	3	0
073867	7	7	5	0	5	3
073886	1	1	3	1	2	1
073886	2	2	4	0	4	0
073886	3	3	3	0	3	0
073886	4	4	4	0	4	0
073886	5	5	4	0	4	1
073886	6	6	4	0	4	0
073886	7	7	4	0	4	0
073886	8	8	2	0	2	2
073912	2	2	3	0	3	0
073912	3	3	4	1	3	1
073912	4	4	2	0	2	0
073912	9	9	2	0	2	2
073912	10	10	3	0	3	0
073912	11	11	4	1	3	3
073912	12	12	2	0	2	0
073938	1	1	2	1	1	1
073938	2	2	3	0	3	0
073938	3	3	3	0	3	0
073938	4	4	4	0	4	0
073938	6	6	3	0	3	0
073938	7	7	3	3	0	1
073956	2	2	2	0	2	2
073956	7	7	2	1	1	2
073956	8	8	2	1	1	3
073956	9	9	2	0	2	1
073956	10	10	2	0	2	0
073956	11	11	2	0	2	0
073970	3	3	4	0	4	1
073970	4	4	3	0	3	1
073970	6	6	4	1	3	0
073970	7	7	5	0	5	1
073970	8	8	3	0	3	0
073970	9	9	3	1	2	1
073970	10	10	3	0	3	1
073993	3	3	2	0	2	1
073993	6	6	2	0	2	0
073993	7	7	2	0	2	0
073993	9	9	3	1	2	1
073993	11	11	2	1	1	0
073993	12	12	2	0	2	0
074013	1	1	2	0	2	1
074013	2	2	3	1	2	1
074013	3	3	2	0	2	0
074013	4	4	2	1	1	0
074013	6	6	2	0	2	1
074013	8	8	2	1	1	2
074013	9	9	2	0	2	0
074013	11	11	2	0	2	1
074029	3	3	2	0	2	0
074029	4	4	2	0	2	0
074029	5	5	3	0	3	1
074029	6	6	3	1	2	0
074029	7	7	4	2	2	1
074029	8	8	4	0	4	2
074029	9	9	3	2	1	1
074029	11	11	2	1	1	0
074029	12	12	3	1	2	0
074055	2	2	2	1	1	0
074055	3	3	2	0	2	0
074055	5	5	2	0	2	0
074055	7	7	3	1	2	0
074055	8	8	3	1	2	1
074055	9	9	2	0	2	0
074055	10	10	2	0	2	0
074055	11	11	2	0	2	0
074055	14	14	2	0	2	0
074055	15	15	2	0	2	0
074055	16	16	4	0	4	0
074055	17	17	3	0	3	0
074055	18	18	2	1	1	0
074055	19	19	2	1	1	0
074055	21	21	2	0	2	0
074055	22	22	2	0	2	0
074055	23	23	2	0	2	0
074055	26	26	2	0	2	0
074055	27	27	2	1	1	0
074055	28	28	3	0	3	0
074055	30	30	4	1	3	0
074055	31	31	3	0	3	0
074116	3	3	2	0	2	0
074116	4	4	2	1	1	0
074116	12	12	2	0	2	0
074130	2	2	2	0	2	0
074130	3	3	2	0	2	0
074130	5	5	2	1	1	0
074130	6	6	5	0	5	0
074130	7	7	4	0	4	0
074130	8	8	2	0	2	0
074130	9	9	3	0	3	0
074130	10	10	3	0	3	0
074130	11	11	2	1	1	0
074130	12	12	2	0	2	0
074130	13	13	3	0	3	0
074130	14	14	2	0	2	0
074130	16	16	3	1	2	0
074130	17	17	2	0	2	0
074130	19	19	2	0	2	0
074130	20	20	2	0	2	0
074130	22	22	3	0	3	0
074130	23	23	2	0	2	0
074184	4	4	2	0	2	0
074184	5	5	2	1	1	0
074184	8	8	2	0	2	0
074184	10	10	4	0	4	0
074184	11	11	2	0	2	0
074589	6	6	3	1	2	0
074589	7	7	2	0	2	0
074589	10	10	2	0	2	0
074589	11	11	2	0	2	0
074589	12	12	2	0	2	0
074589	13	13	2	0	2	0
074589	14	14	2	1	1	0
074639	10	10	2	1	1	0
074642	26	26	2	0	2	0
074642	28	28	2	1	1	0
074642	31	31	2	0	2	0
074673	2	2	2	2	0	1
074676	14	14	2	1	1	0
074679	29	29	2	1	1	0
074684	30	30	2	1	1	0
074686	17	17	2	0	2	0
074686	18	18	2	0	2	0
074686	25	25	2	0	2	0
074686	28	28	2	0	2	0
074687	27	27	2	0	2	0
074689	7	7	2	1	1	0
074689	17	17	2	0	2	0
074689	26	26	2	1	1	0
074689	27	27	2	0	2	0
074691	7	7	2	0	2	0
074692	8	8	2	0	2	0
074693	11	11	2	0	2	0
074694	6	6	2	0	2	0
074694	14	14	2	0	2	0
074694	16	16	2	0	2	0
074694	18	18	2	1	1	0
074694	19	19	2	1	1	0
074694	21	21	2	0	2	0
074694	29	29	2	0	2	0
074694	31	31	2	0	2	0
074700	13	13	2	0	2	0
074700	28	28	2	0	2	0
074705	6	6	2	0	2	0
074708	14	14	2	0	2	0
074708	15	15	2	0	2	0
074708	17	17	2	0	2	0
074708	18	18	2	0	2	0
074708	36	36	2	0	2	0
074708	37	37	2	0	2	0
074708	40	40	2	1	1	0
074712	11	11	2	0	2	0
074712	19	19	2	1	1	0
074713	10	10	2	0	2	0
074714	28	28	2	1	1	0
074714	30	30	2	1	1	0
074714	31	31	2	0	2	0
074715	9	9	2	0	2	0
074715	10	10	2	0	2	0
074715	12	12	2	1	1	0
074715	13	13	2	0	2	0
074715	16	16	2	0	2	0
074720	19	19	2	0	2	0
074720	22	22	2	0	2	0
074721	44	44	2	0	2	0
074721	45	45	2	0	2	0
074721	52	52	2	0	2	0
074721	60	60	2	0	2	0
074721	63	63	2	0	2	0
074723	26	26	2	1	1	0
074732	20	20	2	0	2	0
074732	39	39	2	0	2	0
074736	21	21	2	0	2	0
074739	31	31	2	0	2	0
074741	7	7	2	0	2	0
074744	19	19	2	0	2	0
